"","group","treatment","observation"
"1","group 1","treatment 1",3.7267761620827
"2","group 1","treatment 2",6.44391828214621
"3","group 1","treatment 1",3.53860092018207
"4","group 1","treatment 2",6.65509128705176
"5","group 1","treatment 1",4.42591103717825
"6","group 1","treatment 2",5.94478699098746
"7","group 1","treatment 1",3.98889768096091
"8","group 1","treatment 2",6.32829446800179
"9","group 1","treatment 1",3.99143430502422
"10","group 1","treatment 2",5.22444579561877
"11","group 1","treatment 1",5.33952278037913
"12","group 1","treatment 2",6.02014509426441
"13","group 1","treatment 1",5.05789814133077
"14","group 1","treatment 2",4.9025745818592
"15","group 1","treatment 1",4.29440189823927
"16","group 1","treatment 2",6.19440836458376
"17","group 1","treatment 1",3.73796690096324
"18","group 1","treatment 2",7.1174905592673
"19","group 1","treatment 1",5.21478501625518
"20","group 1","treatment 2",5.4702715333022
"21","group 1","treatment 1",3.16858703531247
"22","group 1","treatment 2",7.20067642156045
"23","group 1","treatment 1",4.11432814646671
"24","group 1","treatment 2",5.35931081099654
"25","group 1","treatment 1",4.33572106301696
"26","group 1","treatment 2",5.26101091441141
"27","group 1","treatment 1",4.81713141069003
"28","group 1","treatment 2",5.04234563822251
"29","group 1","treatment 1",5.0139057002793
"30","group 1","treatment 2",5.7924845112311
"31","group 1","treatment 1",5.72221921284237
"32","group 1","treatment 2",4.84878527177164
"33","group 1","treatment 1",5.02455692728379
"34","group 1","treatment 2",6.43821996829883
"35","group 1","treatment 1",4.22244684082092
"36","group 1","treatment 2",5.70276967263573
"37","group 1","treatment 1",3.44016560256526
"38","group 1","treatment 2",5.30163309239179
"39","group 1","treatment 1",5.55472636990075
"40","group 1","treatment 2",5.05246262446806
"41","group 2","treatment 1",4.67084981217654
"42","group 2","treatment 2",8.76804356640253
"43","group 2","treatment 1",5.30593586888211
"44","group 2","treatment 2",6.29644471210003
"45","group 2","treatment 1",4.41937492935966
"46","group 2","treatment 2",7.01381124962824
"47","group 2","treatment 1",4.94776984653349
"48","group 2","treatment 2",8.02271627700318
"49","group 2","treatment 1",3.62637188705828
"50","group 2","treatment 2",7.77786323794414
"51","group 2","treatment 1",3.70286625916377
"52","group 2","treatment 2",7.65998501127154
"53","group 2","treatment 1",4.51735053954241
"54","group 2","treatment 2",6.68409314467833
"55","group 2","treatment 1",3.61870727950981
"56","group 2","treatment 2",8.30336645587708
"57","group 2","treatment 1",4.9724854874413
"58","group 2","treatment 2",7.15928979152283
"59","group 2","treatment 1",3.73435769331863
"60","group 2","treatment 2",8.09283845341105
"61","group 2","treatment 1",4.98085571476838
"62","group 2","treatment 2",6.86704008550866
"63","group 2","treatment 1",5.60741369246002
"64","group 2","treatment 2",7.60792320226839
"65","group 2","treatment 1",4.35335463968116
"66","group 2","treatment 2",8.73920599758987
"67","group 2","treatment 1",5.64669396515463
"68","group 2","treatment 2",6.64562623955574
"69","group 2","treatment 1",4.68301413707497
"70","group 2","treatment 2",7.78660769134671
"71","group 2","treatment 1",4.32631520241159
"72","group 2","treatment 2",8.07494394711435
"73","group 2","treatment 1",4.31674343980108
"74","group 2","treatment 2",6.55364781694011
"75","group 2","treatment 1",4.30833240060543
"76","group 2","treatment 2",8.12475872218868
"77","group 2","treatment 1",6.43191095871083
"78","group 2","treatment 2",6.98559183343732
"79","group 2","treatment 1",3.81449626014025
"80","group 2","treatment 2",7.08329604225692
